value,score
DIVISION 01 MATHEMATICAL SCIENCES,1
DIVISION 02 PHYSICAL SCIENCES,4
DIVISION 03 CHEMICAL SCIENCES,2
DIVISION 04 EARTH SCIENCES,25
DIVISION 05 ENVIRONMENTAL SCIENCES,22
DIVISION 06 BIOLOGICAL SCIENCES,43
DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,16
DIVISION 08 INFORMATION AND COMPUTING SCIENCES,14
DIVISION 09 ENGINEERING,11
DIVISION 10 TECHNOLOGY,17
DIVISION 11 MEDICAL AND HEALTH SCIENCES,43
DIVISION 12 BUILT ENVIRONMENT AND DESIGN,5
DIVISION 13 EDUCATION,31
DIVISION 14 ECONOMICS,20
"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",19
DIVISION 16 STUDIES IN HUMAN SOCIETY,100
DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,26
DIVISION 18 LAW AND LEGAL STUDIES,0
DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES,15
DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,19
"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE",25
DIVISION 21 HISTORY AND ARCHAEOLOGY,19
DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES,1
